<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-04-26 11:00:00,999010018,800000,900000,1
2024-04-26 11:00:00,999010019,300000,200000,2
2024-04-26 11:00:00,999010026,-200000,400000,1
2024-04-26 11:00:00,999010027,300000,800000,1
2024-04-29 10:00:00,724010001,600000,700000,1
2024-04-29 10:00:00,724010002,3100000,3300000,1
2024-04-29 10:00:00,724010003,900000,600000,2
2024-04-29 10:00:00,724010004,3100000,3400000,1
2024-04-29 12:00:00,999040003,-8600000,-10500000,2
2024-04-29 12:00:00,999040004,4500000,6000000,1
2024-04-29 12:00:00,999040005,94900000,95600000,1
2024-04-29 12:00:00,999040007,8200000,11600000,1
2024-04-29 12:00:00,999040008,6000000,5400000,2
2024-04-29 14:19:00,724080001,-5400000,-3900000,1
2024-04-29 15:00:00,276010020,200000,500000,1
2024-04-29 15:00:00,276010021,2600000,2200000,2
2024-04-29 15:00:00,276010022,300000,600000,1
2024-04-29 15:00:00,276010023,3300000,2400000,2
2024-04-30 08:30:00,250010005,100000,200000,1
2024-04-30 08:30:00,250010006,400000,1100000,1
2024-04-30 08:30:00,250010008,-200000,400000,1
2024-04-30 09:00:00,276010016,200000,1800000,1
2024-04-30 09:00:00,276010017,1700000,300000,2
2024-04-30 09:00:00,276010003,-500000,-800000,1
2024-04-30 09:00:00,276010004,-7300000,-8600000,1
2024-04-30 09:00:00,276010006,-200000,-100000,1
2024-04-30 09:00:00,276010008,0,200000,1
2024-04-30 09:00:00,276010009,-300000,-900000,2
2024-04-30 09:45:00,250010001,400000,500000,1
2024-04-30 09:45:00,250010003,-400000,600000,1
2024-04-30 09:45:00,250010004,2200000,2400000,1
2024-04-30 09:45:00,250010010,-2200000,-200000,1
2024-04-30 10:00:00,724010005,500000,700000,1
2024-04-30 10:00:00,724010006,1700000,2400000,1
2024-04-30 10:55:00,276060001,7000000,10000000,2
2024-04-30 10:55:00,276060003,2778000,2750000,1
2024-04-30 10:55:00,276060004,2713000,2732000,2
2024-04-30 11:00:00,380010020,0,300000,1
2024-04-30 11:00:00,380010021,700000,600000,2
2024-04-30 11:00:00,724040001,3595000,1900000,2
2024-04-30 12:00:00,999030010,200000,700000,1
2024-04-30 12:00:00,999030011,1400000,600000,2
2024-04-30 12:00:00,999030012,2800000,2700000,2
2024-04-30 12:00:00,999030013,1700000,2400000,1
2024-04-30 12:00:00,999030016,100000,300000,1
2024-04-30 12:00:00,999030017,100000,400000,1
2024-04-30 12:00:00,999030024,1800000,600000,2
2024-04-30 12:00:00,999030025,2300000,2800000,1
2024-04-30 12:00:00,380010002,1800000,900000,2
2024-04-30 12:00:00,380010003,400000,600000,1
2024-04-30 12:00:00,380010004,2000000,1000000,2
2024-05-02 10:15:00,724500001,51100000,52200000,1
2024-05-02 10:45:00,380500001,49000000,47300000,2
2024-05-02 10:50:00,250500001,44900000,45300000,1
2024-05-02 10:55:00,276500001,42200000,42500000,1
2024-05-02 11:00:00,380010016,-1200000,-200000,1
2024-05-02 11:00:00,380010017,-7100000,-9600000,2
2024-05-02 11:00:00,999500001,45600000,45700000,1
2024-05-03 09:45:00,250010009,300000,-300000,2
2024-05-03 11:00:00,380010022,7100000,7200000,2
2024-05-03 12:00:00,999030020,6400000,6500000,2
2024-05-06 10:15:00,724500002,56900000,56200000,2
2024-05-06 10:45:00,380500002,54200000,54300000,1
2024-05-06 10:50:00,250500002,50500000,51300000,1
2024-05-06 10:50:00,250500003,49900000,50500000,1
2024-05-06 10:55:00,276500002,53300000,53200000,2
2024-05-06 10:55:00,276500003,50500000,50600000,1
2024-05-06 11:00:00,999500002,52900000,53300000,1
2024-05-06 11:00:00,999500003,51400000,51700000,1
2024-05-06 11:30:00,999060001,96600000,-3600000,2
2024-05-06 12:00:00,999030005,-600000,-400000,1
